TaxID,Domain,Phylum
P1,Bacteria,Actinobacteria
P2,Bacteria,Bacteroidetes
P3,Bacteria,Candidatus Saccharibacteria
P4,Bacteria,Cyanobacteria/Chloroplast
P5,Bacteria,Firmicutes
P6,Bacteria,Fusobacteria
P7,Bacteria,Proteobacteria
P8,Bacteria,Tenericutes
P9,Bacteria,Uncl_Bacteria
