TaxID,Domain,Phylum,Class,Order,Family,Genus
G63,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
G64,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
G65,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,,Chloroplast,Streptophyta
G66,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas
G67,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
G68,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Syntrophococcus
G69,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium
G70,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Uncl_Acidaminococcaceae
G71,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Uncl_Alcaligenaceae
G72,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae 1,Uncl_Bacillaceae 1
G73,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Uncl_Bifidobacteriaceae
G74,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Uncl_Carnobacteriaceae
G75,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Uncl_Clostridiaceae 1
G76,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Uncl_Coriobacteriaceae
G77,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Uncl_Enterobacteriaceae
G78,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Uncl_Eubacteriaceae
G79,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Uncl_Helicobacteraceae
G80,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Uncl_Lachnospiraceae
G81,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Uncl_Neisseriaceae
G82,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Uncl_Pasteurellaceae
G83,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Uncl_Peptostreptococcaceae
G84,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Uncl_Porphyromonadaceae
G85,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Uncl_Prevotellaceae
G86,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Uncl_Pseudomonadaceae
G87,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Uncl_Ruminococcaceae
G88,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Uncl_Succinivibrionaceae
G89,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Uncl_Veillonellaceae
G90,Bacteria,Uncl_Other,Uncl_Other,Uncl_Other,Uncl_Other,Uncl_Other
