,TaxID,Level,PlotName,variable,value,Symbol
285,P5,Phylum,Firmicutes,"YBS
Days 21 to 49
(healthy)",2.0973073291,
286,P6,Phylum,Fusobacteria,"YBS
Days 21 to 49
(healthy)",-0.0021092866,
287,P7,Phylum,Proteobacteria,"YBS
Days 21 to 49
(healthy)",-1.0208392143,
288,P8,Phylum,Tenericutes,"YBS
Days 21 to 49
(healthy)",-1.3579734235,
289,F1,Family,Acidaminococcaceae,"YBS
Days 21 to 49
(healthy)",1.2762650286,
290,F16,Family,Coriobacteriaceae,"YBS
Days 21 to 49
(healthy)",-1.3694471597,
291,F18,Family,Enterobacteriaceae,"YBS
Days 21 to 49
(healthy)",-0.0177321766,
292,F23,Family,Lachnospiraceae,"YBS
Days 21 to 49
(healthy)",1.3047407899,+
293,F32,Family,Porphyromonadaceae,"YBS
Days 21 to 49
(healthy)",0.3411031322,
294,F33,Family,Prevotellaceae,"YBS
Days 21 to 49
(healthy)",0.8350240268,
295,F39,Family,Sutterellaceae,"YBS
Days 21 to 49
(healthy)",-0.2921694526,
296,F40,Family,Veillonellaceae,"YBS
Days 21 to 49
(healthy)",0.8458362655,
297,F5,Family,Anaeroplasmataceae,"YBS
Days 21 to 49
(healthy)",-1.3581666669,
298,F9,Family,Bifidobacteriaceae,"YBS
Days 21 to 49
(healthy)",-1.8475241928,
299,G13,Genus,Bifidobacterium,"YBS
Days 21 to 49
(healthy)",-1.837914781,
300,G44,Genus,Megasphaera,"YBS
Days 21 to 49
(healthy)",1.3455995367,
301,G54,Genus,Phascolarctobacterium,"YBS
Days 21 to 49
(healthy)",1.5682368806,
302,G66,Genus,Succinatimonas,"YBS
Days 21 to 49
(healthy)",0.0638835376,
303,G67,Genus,Sutterella,"YBS
Days 21 to 49
(healthy)",-0.291779644,
304,G8,Genus,Asteroleplasma,"YBS
Days 21 to 49
(healthy)",-1.3574837555,
305,OTU_129,OTU,OTU129 Bifidobacterium hapali,"YBS
Days 21 to 49
(healthy)",1.0229917568,
306,OTU_13,OTU,OTU13 Lachnospiraceae sp.,"YBS
Days 21 to 49
(healthy)",0.209229869,
307,OTU_136,OTU,OTU136 Megamonas sp.,"YBS
Days 21 to 49
(healthy)",-0.2841567351,
308,OTU_14,OTU,OTU14 Lachnospiraceae sp.,"YBS
Days 21 to 49
(healthy)",1.2155051032,
309,OTU_145,OTU,OTU145 Bifidobacterium avesanii,"YBS
Days 21 to 49
(healthy)",-2.3125315675,
310,OTU_15,OTU,OTU15 Megasphaera paucivorans,"YBS
Days 21 to 49
(healthy)",1.5241609652,
311,OTU_2,OTU,OTU2 Bifidobacterium aesculapii,"YBS
Days 21 to 49
(healthy)",0.0717630847,
312,OTU_20,OTU,OTU20 Phascolarctobacterium succinatutens,"YBS
Days 21 to 49
(healthy)",1.2712059312,
313,OTU_24,OTU,OTU24 Megamonas sp.,"YBS
Days 21 to 49
(healthy)",-0.4760488939,
314,OTU_28,OTU,OTU28 Parabacteroides sp.,"YBS
Days 21 to 49
(healthy)",1.2757080847,
315,OTU_3,OTU,OTU3 Parolsenella catena,"YBS
Days 21 to 49
(healthy)",-1.4164078206,
316,OTU_32,OTU,OTU32 Parolsenella sp.,"YBS
Days 21 to 49
(healthy)",-1.5931192135,
317,OTU_35,OTU,OTU35 Bifidobacterium moukalabense,"YBS
Days 21 to 49
(healthy)",0.0890712782,+
318,OTU_37,OTU,OTU37 Muribaculaceae sp.,"YBS
Days 21 to 49
(healthy)",0.0265088786,
319,OTU_38,OTU,OTU38 Parolsenella sp.,"YBS
Days 21 to 49
(healthy)",0.8528326153,
320,OTU_4,OTU,OTU4 Bifidobacterium dentium,"YBS
Days 21 to 49
(healthy)",-1.8991032873,+
321,OTU_40,OTU,OTU40 Bifidobacterium goeldii,"YBS
Days 21 to 49
(healthy)",-0.0426487039,
322,OTU_42,OTU,OTU42 Enterobacter hormaechei,"YBS
Days 21 to 49
(healthy)",-0.0180227983,
323,OTU_45,OTU,OTU45 Streptococcus sp.,"YBS
Days 21 to 49
(healthy)",-1.5266291259,
324,OTU_47,OTU,OTU47 Succinatimonas hippei,"YBS
Days 21 to 49
(healthy)",0,
325,OTU_56,OTU,OTU56 Anaeroplasmataceae sp.,"YBS
Days 21 to 49
(healthy)",-1.2957022811,
326,OTU_59,OTU,OTU59 Kineothrix sp.,"YBS
Days 21 to 49
(healthy)",0,
