,TaxID,Level,PlotName,variable,value,Symbol
118,OTU_13,OTU,OTU13 Lachnospiraceae sp.,"WBS
Days 21 to 49
(healthy)",0.9978159849,+
119,OTU_136,OTU,OTU136 Megamonas sp.,"WBS
Days 21 to 49
(healthy)",-2.578540977,
120,OTU_14,OTU,OTU14 Lachnospiraceae sp.,"WBS
Days 21 to 49
(healthy)",1.3190341253,
121,OTU_145,OTU,OTU145 Bifidobacterium avesanii,"WBS
Days 21 to 49
(healthy)",-0.1536229478,
122,OTU_15,OTU,OTU15 Megasphaera paucivorans,"WBS
Days 21 to 49
(healthy)",-1.2461495905,
123,OTU_2,OTU,OTU2 Bifidobacterium aesculapii,"WBS
Days 21 to 49
(healthy)",0.2231527222,
124,OTU_20,OTU,OTU20 Phascolarctobacterium succinatutens,"WBS
Days 21 to 49
(healthy)",1.510127603,
125,OTU_24,OTU,OTU24 Megamonas sp.,"WBS
Days 21 to 49
(healthy)",-0.6548860948,
126,OTU_28,OTU,OTU28 Parabacteroides sp.,"WBS
Days 21 to 49
(healthy)",1.7045890122,
127,OTU_3,OTU,OTU3 Parolsenella catena,"WBS
Days 21 to 49
(healthy)",0.152892392,
128,OTU_32,OTU,OTU32 Parolsenella sp.,"WBS
Days 21 to 49
(healthy)",1.4280490201,
129,OTU_35,OTU,OTU35 Bifidobacterium moukalabense,"WBS
Days 21 to 49
(healthy)",0.5880553171,
130,OTU_37,OTU,OTU37 Muribaculaceae sp.,"WBS
Days 21 to 49
(healthy)",0.2848761195,
131,OTU_38,OTU,OTU38 Parolsenella sp.,"WBS
Days 21 to 49
(healthy)",-0.1179154751,
132,OTU_4,OTU,OTU4 Bifidobacterium dentium,"WBS
Days 21 to 49
(healthy)",0.1092650523,
133,OTU_40,OTU,OTU40 Bifidobacterium goeldii,"WBS
Days 21 to 49
(healthy)",0.3679986109,
134,OTU_42,OTU,OTU42 Enterobacter hormaechei,"WBS
Days 21 to 49
(healthy)",0,
135,OTU_45,OTU,OTU45 Streptococcus sp.,"WBS
Days 21 to 49
(healthy)",1.9386154072,
136,OTU_47,OTU,OTU47 Succinatimonas hippei,"WBS
Days 21 to 49
(healthy)",-4.6213852149,
137,OTU_56,OTU,OTU56 Anaeroplasmataceae sp.,"WBS
Days 21 to 49
(healthy)",0.0803376808,
138,OTU_59,OTU,OTU59 Kineothrix sp.,"WBS
Days 21 to 49
(healthy)",0,
139,OTU_7,OTU,OTU7 Prevotella sp.,"WBS
Days 21 to 49
(healthy)",0.6546248185,
140,OTU_72,OTU,OTU72 Parolsenella catena,"WBS
Days 21 to 49
(healthy)",-0.4712960218,
141,OTU_73,OTU,OTU73 Bifidobacterium tissierii,"WBS
Days 21 to 49
(healthy)",-0.2182550938,
142,P1,Phylum,Actinobacteria,"WBS
Days 21 to 49
(pathology)",-0.8969990905,
143,P2,Phylum,Bacteroidetes,"WBS
Days 21 to 49
(pathology)",0.8420696984,
144,P5,Phylum,Firmicutes,"WBS
Days 21 to 49
(pathology)",-9.61891450899371E-05,
145,P6,Phylum,Fusobacteria,"WBS
Days 21 to 49
(pathology)",0.0707063411,
146,P7,Phylum,Proteobacteria,"WBS
Days 21 to 49
(pathology)",1.3820453226,
147,P8,Phylum,Tenericutes,"WBS
Days 21 to 49
(pathology)",0.7491088206,
148,F1,Family,Acidaminococcaceae,"WBS
Days 21 to 49
(pathology)",-0.2439652637,
149,F16,Family,Coriobacteriaceae,"WBS
Days 21 to 49
(pathology)",1.1252111374,
150,F18,Family,Enterobacteriaceae,"WBS
Days 21 to 49
(pathology)",7.8131349098,
151,F23,Family,Lachnospiraceae,"WBS
Days 21 to 49
(pathology)",1.3124906818,
152,F32,Family,Porphyromonadaceae,"WBS
Days 21 to 49
(pathology)",3.0164945603,
153,F33,Family,Prevotellaceae,"WBS
Days 21 to 49
(pathology)",-2.0239433368,+
154,F39,Family,Sutterellaceae,"WBS
Days 21 to 49
(pathology)",-0.2075953772,
155,F40,Family,Veillonellaceae,"WBS
Days 21 to 49
(pathology)",-1.9810031203,
156,F5,Family,Anaeroplasmataceae,"WBS
Days 21 to 49
(pathology)",0.7495468123,
157,F9,Family,Bifidobacteriaceae,"WBS
Days 21 to 49
(pathology)",-1.5113445951,
158,G13,Genus,Bifidobacterium,"WBS
Days 21 to 49
(pathology)",-1.5202125131,
159,G44,Genus,Megasphaera,"WBS
Days 21 to 49
(pathology)",-1.0655251239,
160,G54,Genus,Phascolarctobacterium,"WBS
Days 21 to 49
(pathology)",-0.2416008291,
161,G66,Genus,Succinatimonas,"WBS
Days 21 to 49
(pathology)",-0.1874041799,
162,G67,Genus,Sutterella,"WBS
Days 21 to 49
(pathology)",-0.2080965461,
163,G8,Genus,Asteroleplasma,"WBS
Days 21 to 49
(pathology)",0.7502116068,
164,OTU_129,OTU,OTU129 Bifidobacterium hapali,"WBS
Days 21 to 49
(pathology)",1.1301143559,
165,OTU_13,OTU,OTU13 Lachnospiraceae sp.,"WBS
Days 21 to 49
(pathology)",2.3873607622,
166,OTU_136,OTU,OTU136 Megamonas sp.,"WBS
Days 21 to 49
(pathology)",-0.1387002311,
167,OTU_14,OTU,OTU14 Lachnospiraceae sp.,"WBS
Days 21 to 49
(pathology)",2.0759710465,
168,OTU_145,OTU,OTU145 Bifidobacterium avesanii,"WBS
Days 21 to 49
(pathology)",-1.8058256326,
169,OTU_15,OTU,OTU15 Megasphaera paucivorans,"WBS
Days 21 to 49
(pathology)",-1.0132068174,
170,OTU_2,OTU,OTU2 Bifidobacterium aesculapii,"WBS
Days 21 to 49
(pathology)",0.0852904935,
171,OTU_20,OTU,OTU20 Phascolarctobacterium succinatutens,"WBS
Days 21 to 49
(pathology)",-0.2402684362,
172,OTU_24,OTU,OTU24 Megamonas sp.,"WBS
Days 21 to 49
(pathology)",-2.4258453558,+
173,OTU_28,OTU,OTU28 Parabacteroides sp.,"WBS
Days 21 to 49
(pathology)",-1.676506292,
174,OTU_3,OTU,OTU3 Parolsenella catena,"WBS
Days 21 to 49
(pathology)",-0.0025798646,
175,OTU_32,OTU,OTU32 Parolsenella sp.,"WBS
Days 21 to 49
(pathology)",-0.635523279,
176,OTU_35,OTU,OTU35 Bifidobacterium moukalabense,"WBS
Days 21 to 49
(pathology)",1.5442819347,
177,OTU_37,OTU,OTU37 Muribaculaceae sp.,"WBS
Days 21 to 49
(pathology)",3.2098460004,
178,OTU_38,OTU,OTU38 Parolsenella sp.,"WBS
Days 21 to 49
(pathology)",1.0979312287,
179,OTU_4,OTU,OTU4 Bifidobacterium dentium,"WBS
Days 21 to 49
(pathology)",-0.972689821,
180,OTU_40,OTU,OTU40 Bifidobacterium goeldii,"WBS
Days 21 to 49
(pathology)",0.787256981,
181,OTU_42,OTU,OTU42 Enterobacter hormaechei,"WBS
Days 21 to 49
(pathology)",7.8456643895,
182,OTU_45,OTU,OTU45 Streptococcus sp.,"WBS
Days 21 to 49
(pathology)",-2.6151353853,
183,OTU_47,OTU,OTU47 Succinatimonas hippei,"WBS
Days 21 to 49
(pathology)",-0.168162356,
184,OTU_56,OTU,OTU56 Anaeroplasmataceae sp.,"WBS
Days 21 to 49
(pathology)",0.6995053801,
185,OTU_59,OTU,OTU59 Kineothrix sp.,"WBS
Days 21 to 49
(pathology)",7.6417670294,
186,OTU_7,OTU,OTU7 Prevotella sp.,"WBS
Days 21 to 49
(pathology)",-2.1929485835,+
187,OTU_72,OTU,OTU72 Parolsenella catena,"WBS
Days 21 to 49
(pathology)",2.0661793774,
188,OTU_73,OTU,OTU73 Bifidobacterium tissierii,"WBS
Days 21 to 49
(pathology)",2.6656092919,
189,P1,Phylum,Actinobacteria,"YBS
Days -56 to -7",1.4628177357,
190,P2,Phylum,Bacteroidetes,"YBS
Days -56 to -7",-0.4835077383,
191,P5,Phylum,Firmicutes,"YBS
Days -56 to -7",-1.6352015937,
192,P6,Phylum,Fusobacteria,"YBS
Days -56 to -7",0.0016148782,
193,P7,Phylum,Proteobacteria,"YBS
Days -56 to -7",-1.0350311617,
194,P8,Phylum,Tenericutes,"YBS
Days -56 to -7",-0.0541975876,
195,F1,Family,Acidaminococcaceae,"YBS
Days -56 to -7",-0.7180223947,
196,F16,Family,Coriobacteriaceae,"YBS
Days -56 to -7",2.0478030719,
197,F18,Family,Enterobacteriaceae,"YBS
Days -56 to -7",-0.0406624112,
198,F23,Family,Lachnospiraceae,"YBS
Days -56 to -7",-1.2847707971,
199,F32,Family,Porphyromonadaceae,"YBS
Days -56 to -7",0.5308190482,
200,F33,Family,Prevotellaceae,"YBS
Days -56 to -7",0.4845393951,
201,F39,Family,Sutterellaceae,"YBS
Days -56 to -7",-2.2456955681,
202,F40,Family,Veillonellaceae,"YBS
Days -56 to -7",-0.2011842529,
203,F5,Family,Anaeroplasmataceae,"YBS
Days -56 to -7",-0.054143866,
204,F9,Family,Bifidobacteriaceae,"YBS
Days -56 to -7",1.0119676119,
205,G13,Genus,Bifidobacterium,"YBS
Days -56 to -7",0.9859783567,
206,G44,Genus,Megasphaera,"YBS
Days -56 to -7",-0.1888589748,
207,G54,Genus,Phascolarctobacterium,"YBS
Days -56 to -7",-0.438997625,
208,G66,Genus,Succinatimonas,"YBS
Days -56 to -7",0.0009268521,
209,G67,Genus,Sutterella,"YBS
Days -56 to -7",-2.2490966991,
210,G8,Genus,Asteroleplasma,"YBS
Days -56 to -7",-0.0542236818,
211,OTU_129,OTU,OTU129 Bifidobacterium hapali,"YBS
Days -56 to -7",0.8004772651,
212,OTU_13,OTU,OTU13 Lachnospiraceae sp.,"YBS
Days -56 to -7",-1.5654062495,
213,OTU_136,OTU,OTU136 Megamonas sp.,"YBS
Days -56 to -7",1.8590825151,
214,OTU_14,OTU,OTU14 Lachnospiraceae sp.,"YBS
Days -56 to -7",-0.4700000052,
215,OTU_145,OTU,OTU145 Bifidobacterium avesanii,"YBS
Days -56 to -7",0.2836671611,
216,OTU_15,OTU,OTU15 Megasphaera paucivorans,"YBS
Days -56 to -7",-0.3331383544,
217,OTU_2,OTU,OTU2 Bifidobacterium aesculapii,"YBS
Days -56 to -7",1.2391361289,
